1970,2300,12,192,2.283301229
1974,4500,20,225,2.352182518
1978,29000,33,879,2.943988875
1982,134000,49,2735,3.436957331
1986,275000,90,3056,3.48515335
1990,1200000,173,6936,3.841109084
1994,3100000,294,10544,4.023005397
1998,7500000,307,24430,4.387923467
2002,42000000,195,215385,5.333215455
2006,291000000,143,2034965,6.308556944
2010,731000000,263,2779468,6.443961678
2014,1400000000,160,8750000,6.942008053
2018,3200000000,246,13008130,7.114214869
